Match #,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
1,1678,6657B,1671,7419,841,1678C
2,5817,5940B,2073,6657,1678D,1678B
3,3859,4255B,3970,971,1662,973B
4,1323,852,4255,5104,5940,971B
5,971,5817,5940B,973,841,1678
6,1678D,5104,1323,4255B,1662,5940
7,1671,4255,6657B,2073,1678C,971B
8,852,973B,7419,973,1678B,3859
9,3970,1678C,1671,6657,1323,1678
10,1678B,971,5104,6657B,973,973B
11,3970,1678D,971B,4255B,2073,6657
12,852,5940,5940B,5817,4255,841
13,1662,973,1678C,3859,7419,1671
14,971B,1323,4255B,1678,1678B,3970
15,1662,6657,5817,973B,1678D,841
16,7419,4255,2073,5940B,5104,3859
17,5940,6657B,1678D,971,852,1678B
18,5817,1671,973,4255,3970,7419
19,1678,971B,971,5940B,6657,5940
20,1662,5104,841,1678C,4255B,852
21,3859,973B,5817,2073,6657B,1323
22,7419,1662,1678,4255,971B,971
23,6657,973,852,3859,4255B,6657B
24,841,5104,3970,1671,5940,1323
25,2073,1678C,1678D,1678B,5940B,973B
26,3859,4255B,841,5940,1678,4255
27,1662,1678B,2073,852,5817,3970
28,1678D,5940B,7419,973B,1671,971
29,1678C,5104,6657,971B,973,1323
30,3970,973B,5940,6657B,1662,5940B
31,6657,7419,971,4255,1678C,1678D
32,971B,841,6657B,3859,1678B,973
33,852,1678,5817,5104,1671,2073
34,1323,7419,841,4255B,971,1678D
35,6657,3859,4255,6657B,3970,852
36,4255B,5104,5817,1678C,973B,1678
37,5940,2073,973,1671,1662,971B
38,1678B,6657B,7419,5940B,1323,3859
39,971B,6657,973B,5104,2073,852
40,1678B,4255B,4255,841,5940B,1671
41,5940,971,973,1323,1678C,5817
42,1678,1678D,3859,1662,3970,2073
43,1678B,5940,1678C,7419,6657,4255B
44,1671,852,971B,1678D,973,5817
45,4255,5104,973B,3970,971,841
46,5940B,1678,2073,1323,1662,6657B
47,3859,1678C,971,971B,1678B,5817
48,973B,3970,1323,841,5940,7419
49,973,1678D,5940B,1678,5104,4255B
50,1671,6657B,6657,1662,4255,852
